iter	RMSE
335	565.1992303
336	564.9556691
337	564.6278464
338	564.3719551
339	564.1496716
340	564.1208994
341	564.0948039
342	563.5323942
343	563.2657998
344	563.0155286
345	562.9885585
346	562.9393701
347	562.3893621
348	562.2645901
349	562.1562894
350	562.1333146
351	562.1075573
352	561.8187381
353	561.6752515
354	561.2814962
355	561.2552885
356	561.0691576
357	560.2532159
358	560.1042049
359	559.8185074
360	559.5834103
361	559.2233587
362	558.8681172
363	558.8330576
364	558.8148894
365	558.5866729
366	558.0090732
367	557.4214658
368	556.9069254
369	556.8272261
370	556.310256
371	556.286498
372	556.0454494
373	555.8942729
374	555.59777
375	554.9067963
376	554.6506865
377	554.4675368
378	554.4482085
379	554.3128358
380	554.151454
381	554.0449873
382	553.115603
383	552.9166552
384	552.8759581
385	552.7971955
386	552.5972733
387	552.5653016
388	552.5404463
389	552.3553244
390	552.0735115
391	552.0329059
392	551.8292982
393	551.6846049
394	551.3991836
395	551.3377229
396	551.3133824
397	551.2937751
398	551.2680412
399	551.1735888
400	551.1572063
401	551.1101783
402	550.6520947
403	550.4530499
404	550.422376
405	550.4094238
406	550.3094044
407	550.0742665
408	549.7673167
409	549.7557816
410	549.7314021
411	549.6061407
412	549.3410506
413	549.2592982
414	549.0802099
415	548.9587874
416	548.5007347
417	548.1920681
418	547.8391636
419	547.4413317
420	547.357589
421	547.1818841
422	547.0094839
423	546.7627971
424	546.4023763
425	545.97637
426	545.9000622
427	545.8690255
428	545.6829717
429	545.5965575
430	545.4839412
431	545.272219
432	545.2143873
433	545.164972
434	544.8118521
435	544.7716153
436	544.7339746
437	544.7069881
438	544.4288955
439	544.2228467
440	544.1562216
441	543.9957043
442	543.9830849
443	543.9685124
444	543.7344221
445	543.5687398
446	543.495567
447	543.388929
448	543.284211
449	543.1559206
450	542.968391
451	542.9439458
452	542.5202758
453	542.4527826
454	542.3139907
455	542.2740416
456	542.0356494
457	541.8575579
458	541.7156992
459	541.6394835
460	541.6296245
461	541.4980454
462	541.2117282
463	541.1257056
464	540.9283418
465	540.9152069
466	540.6484319
467	540.5280875
468	540.4466027
469	540.3591518
470	540.2247086
471	540.2149663
472	540.2029111
473	540.0544121
474	539.8340688
475	539.8188764
476	539.7943695
477	539.7547417
478	539.6759211
479	539.65993
480	539.5513665
481	539.4729296
482	539.4189641
483	538.977274
484	538.9409387
485	538.7969422
486	538.7242017
487	538.6848908
488	538.5881705
489	538.4309228
490	538.278466
491	538.2060273
492	538.0087377
493	537.8273875
494	537.2308504
495	537.2015485
496	537.1780229
497	537.0428332
498	536.766567
499	536.6705906
500	536.6545021
501	536.6136155
502	536.5657528
503	536.4674578
504	536.4503169
505	536.3745018
506	536.3430481
507	536.0930068
508	536.044633
509	535.9887834
510	535.8885388
511	535.8253265
512	535.7719554
513	535.6833587
514	535.6087731
515	535.5966569
516	535.4008786
517	535.3884406
518	535.3002846
519	535.280554
520	535.1282586
521	534.9637735
522	534.6537632
523	534.6375842
524	534.3952062
525	534.2946868
526	534.1622269
527	534.1387963
528	534.1089473
529	533.9602216
530	533.9140163
531	533.8575021
532	533.7625584
533	533.7405731
534	533.6587319
535	533.2508916
536	533.2332057
537	533.2122613
538	533.1353712
539	533.0514837
540	533.0193346
541	532.9917919
542	532.8081578
543	532.6574898
544	532.6347454
545	532.5623256
546	532.5426396
547	532.3920961
548	532.3727567
549	532.0692498
550	532.0637884
551	532.0363903
552	531.9628806
553	531.9089998
554	531.8443504
555	531.7603418
556	531.7448739
557	531.7401947
558	531.7368194
559	531.7058186
560	531.5888075
561	531.5683441
562	530.8645181
563	530.8073055
564	530.8021776
565	530.7501523
566	530.6554238
567	530.5196772
568	530.4755675
569	530.4486678
570	530.4313263
571	530.3900599
572	530.3749677
573	530.2066559
574	530.1123412
575	530.0644591
576	530.0379123
577	529.9969114
578	529.9594441
579	529.8527576
580	529.7025315
581	529.693141
582	529.6623884
583	529.6366005
584	529.6122191
585	529.598349
586	529.570691
587	529.5211076
588	529.4307204
589	529.3221589
590	529.3176884
591	529.2677301
592	529.050881
593	528.9763176
594	528.9217387
595	528.8882387
596	528.8793304
597	528.8372199
598	528.793864
599	528.7331307
600	528.7011128
601	528.6702393
602	528.6517053
603	528.5398443
604	528.4977946
605	528.4781483
606	528.445974
607	528.414273
608	528.3794588
609	528.3515338
610	528.3251411
611	528.2330691
612	528.189392
613	528.1454005
614	528.0338891
615	528.0320864
616	528.0213318
617	528.0142092
618	527.9904522
619	527.9490192
620	527.9056989
621	527.9007935
622	527.8770803
623	527.7799769
624	527.7491521
625	527.7359847
626	527.7302844
627	527.6819695
628	527.6542376
629	527.5947917
630	527.589404
631	527.5283437
632	527.5026128
633	527.4681984
634	527.4611062
635	527.4061528
636	527.3934145
637	527.3087417
638	527.2863434
639	527.2403277
640	527.1836516
641	527.1351066
642	527.1219096
643	527.0743074
644	527.0674031
645	527.0457968
646	527.0369125
647	526.966769
648	526.8437212
649	526.7997381
650	526.7710806
651	526.6314269
652	526.596408
653	526.5767179
654	526.5527276
655	526.5492278
656	526.4415896
657	526.4006149
658	526.394165
659	526.3901973
660	526.3865396
661	526.3832767
662	526.3737283
663	526.3688806
664	526.3235451
665	526.3124174
666	526.3074201
667	526.3063884
668	526.2696255
669	526.2662127
670	526.1993339
671	526.1955234
672	526.1933727
673	526.1387037
674	526.1101483
675	526.1000304
676	526.0875169
677	526.0762143
678	526.0393411
679	526.0108504
680	525.9816934
681	525.9783252
682	525.9426355
683	525.9351315
684	525.9327744
685	525.9288074
686	525.8617854
687	525.8496535
688	525.8159157
689	525.7935834
690	525.7678969
691	525.762044
692	525.7331725
693	525.728427
694	525.7162284
695	525.7147691
696	525.7052192
697	525.677981
698	525.664889
699	525.5537013
700	525.5483392
701	525.5139695
702	525.3787036
703	525.3762217
704	525.3084201
705	525.2993552
706	525.2963924
707	525.2755263
708	525.2719096
709	525.2637428
710	525.2482091
711	525.2397717
712	525.2342198
713	525.2079296
714	525.2061535
715	525.2037053
716	525.1996054
717	525.1921509
718	525.1674133
719	525.1546468
720	525.0913774
721	525.0474758
722	525.0433696
723	524.9521993
724	524.9459549
725	524.9011871
726	524.8973514
727	524.889039
728	524.8780435
729	524.8476948
730	524.8370939
731	524.8059344
732	524.7732627
733	524.7637686
734	524.731548
735	524.7072971
736	524.7044693
737	524.6985874
738	524.6657854
739	524.6527905
740	524.6512869
741	524.6480422
742	524.6312189
743	524.6188817
744	524.6097159
745	524.5990051
746	524.5459501
747	524.5436166
748	524.5379174
749	524.480478
