iter	RMSE
0	5775.138265
1	4990.454909
2	4058.386649
3	3488.907436
4	3043.199025
5	2762.538006
6	2535.965592
7	2390.749686
8	2289.835807
9	2222.052954
10	2130.270645
11	2054.278867
12	1987.77885
13	1894.35845
14	1863.089029
15	1808.23824
16	1728.370969
17	1682.479014
18	1603.738325
19	1573.06583
20	1554.063301
21	1491.667989
22	1456.920191
23	1436.406979
24	1423.822356
25	1399.038585
26	1388.159461
27	1372.77295
28	1332.520732
29	1325.404286
30	1300.784248
31	1272.420281
32	1255.234644
33	1250.680806
34	1239.057651
35	1225.432637
36	1214.78162
37	1184.649884
38	1175.570394
39	1162.466351
40	1154.106476
41	1134.63555
42	1122.086131
43	1112.683924
44	1107.500345
45	1097.79811
46	1091.337623
47	1080.596784
48	1078.267937
49	1068.652435
50	1060.743675
51	1045.90446
52	1037.590754
53	1033.803558
54	1019.248698
55	1016.261558
56	1008.11261
57	1003.166279
58	993.4423615
59	989.6718915
60	982.1048409
61	977.4148673
62	969.9386675
63	962.3133151
64	958.7010375
65	949.4970349
66	946.3944102
67	943.1872796
68	938.3560051
69	934.9989402
70	932.6080947
71	922.2604139
72	919.7588682
73	917.3554813
74	907.8738269
75	897.7973506
76	894.9658652
77	891.7322691
78	886.3619836
79	883.4173972
80	881.3654831
81	873.957038
82	861.1132464
83	859.025101
84	856.943863
85	852.5405002
86	847.7085381
87	840.5803538
88	836.5422978
89	834.8629759
90	828.6862419
91	825.6094286
92	821.6792528
93	820.4748763
94	817.6949007
95	815.8245817
96	814.3819683
97	809.726519
98	809.3404349
99	807.0460213
100	805.5330821
101	802.2494197
102	797.7008951
103	796.3368238
104	794.7295792
105	790.809052
106	789.2666597
107	786.22743
108	784.1828956
109	779.1578941
110	773.6664346
111	770.7504275
112	767.0069692
113	765.2695241
114	764.0463219
115	763.0603217
116	761.9621345
117	755.45484
118	752.0833756
119	750.2339057
120	749.6252345
121	746.7065569
122	743.1029223
123	742.2590764
124	737.9321029
125	737.6119315
126	733.8012171
127	732.0134303
128	731.5950733
129	729.7083294
130	727.9470598
131	724.6476322
132	721.9012209
133	719.8192209
134	717.2748557
135	715.3095479
136	714.3680356
137	713.1820151
138	711.7899915
139	710.4239508
140	709.2871976
141	705.5475118
142	704.8327562
143	704.2954735
144	703.5973163
145	700.8489361
146	698.2680796
147	693.8667163
148	692.1551197
149	691.58106
150	690.4733691
151	689.2409072
152	687.7926034
153	687.1761107
154	685.385344
155	682.7963497
156	681.8457962
157	681.5691537
158	679.807815
159	676.6753423
160	676.2292991
161	675.7774708
162	674.768641
163	672.9857401
164	672.646653
165	671.2941832
166	671.1076744
167	670.5923569
168	668.9066443
169	668.5057387
170	667.9933212
171	667.4453738
172	667.1059507
173	665.7518109
174	665.0138664
175	664.8702379
176	664.5186365
177	663.6521289
178	663.5051077
179	662.4971468
180	660.4591609
181	658.246035
182	656.7143829
183	655.9532031
184	654.5451239
185	653.5469752
186	652.5804556
187	652.452801
188	651.3662721
189	649.9039998
190	648.2735309
191	648.0790632
192	647.7226061
193	647.2651645
194	646.5793208
195	646.1565669
196	644.4886868
197	643.3350934
198	641.7977919
199	639.3191755
200	638.5185162
201	635.3594391
202	634.0337384
203	633.289915
204	633.0640707
205	632.7320335
206	631.8180494
207	631.062907
208	630.5464244
209	630.2020597
210	629.5856722
211	628.2920298
212	628.1754232
213	627.1547989
214	626.5302483
215	625.5844744
216	625.1528391
217	624.915307
218	624.168135
219	623.5835338
220	622.7974962
221	621.1111568
222	620.5937507
223	619.7969072
224	618.7056906
225	618.2744556
226	617.4385427
227	616.0558842
228	615.3214904
229	613.9775089
230	613.809806
231	613.6526881
232	610.6092533
233	610.1094057
234	609.6932587
235	609.3934236
236	609.3117897
237	609.2100822
238	608.6041871
239	607.639285
240	606.5344194
241	606.4117023
242	605.1231539
243	604.9715933
244	604.5858359
245	603.2087752
246	602.2694852
247	601.3559507
248	601.1747495
249	600.8829866
250	600.4945578
251	600.3713763
252	599.3389679
253	599.2392418
254	597.977163
255	597.5214993
256	597.4440544
257	596.1247827
258	594.6726591
259	594.5917389
260	594.322574
261	592.6921737
262	592.2142708
263	591.0318383
264	590.846791
265	590.3015016
266	589.5497425
267	589.3117328
268	588.5991907
269	587.5128245
270	587.3609326
271	587.228067
272	587.0449475
273	586.9690347
274	586.3195033
275	585.9076483
276	585.4180449
277	585.3376025
278	585.047132
279	584.882025
280	584.5064598
281	583.9625014
282	583.557597
283	582.1345089
284	581.9374589
285	581.1762995
286	581.1209058
287	580.866771
288	580.7887709
289	580.5069564
290	579.3056445
291	579.1775502
292	578.8349274
293	578.7634972
294	578.433603
295	578.017114
296	577.4163169
297	576.4630406
298	575.8591981
299	575.1097977
300	574.6449897
301	573.2041034
302	573.0778754
303	572.9914914
304	572.3932531
305	572.294929
306	572.232647
307	572.1849807
308	571.3883411
309	571.1537995
310	571.0656928
311	570.5591212
312	570.4823516
313	570.0955492
314	569.9856179
315	569.9236931
316	569.8386453
317	569.5684873
318	569.1776411
319	568.4310449
320	568.1392723
321	568.0701616
322	567.925253
323	567.6993606
324	567.4273889
325	567.3591518
326	567.1745726
327	567.0575116
328	566.8026674
329	566.6967539
330	566.4631334
331	566.348093
332	566.1399532
333	565.3223476
334	565.2898756
